Coverage ID,Expansion / system,Scenario,Evidence available,Evidence review,Implementation,Runtime retest,Bug ID,Capture request ID,Next action,Source reference
COV-01,Cross-expansion,Login handshake,Not applicable,Logs required,Unresolved,Pending,HG-QA-001,,Collect correlated host diagnostics,Staff QA triage
COV-02,Wrath of the Lich King,DK: first Razuvious interaction,Not reviewed,Not qualified,Unresolved,Pending,HG-QA-002,,Reproduce and identify the quest before requesting a sniff,Staff QA triage
COV-03,Legion,Mardum: first unavailable quest,Not reviewed,Not qualified,Unresolved,Pending,HG-QA-003,,Reproduce and search existing captures by exact IDs,Staff QA triage
COV-04,Shadowlands,Exile: reported blocked interaction,Not reviewed,Not qualified,Unresolved,Pending,HG-QA-004,,Obtain IDs and steps; do not mark all Exile content absent,Staff QA triage
COV-05,Cross-expansion,LFG: queue and teleport by dungeon/difficulty,Not reviewed,Not qualified,Unresolved,Pending,HG-QA-005,,Identify failing LFG slot and inspect its destination,Staff QA triage
COV-06,Mists of Pandaria,Temple map 960: spawn difficulty mapping,Located,Qualified legacy DB,Fixed,Pending,HG-QA-006,,Retest existing spawns; mechanics need separate cases,Legion dump + 69587 MapDifficulty + SQL 108
COV-07,Midnight,Automatic quest offer at level 80,Partial,Not qualified,Unresolved,Pending,HG-QA-007,REQ-01,Compare eligible and ineligible characters and offer trigger,Staff QA triage
COV-08,Midnight,Adventure Guide entry 822: accept quest 91281,Located,Qualified code / DB2,Fixed,Pending,HG-QA-008,,Deploy and retest accept/cancel/reopen/party sharing,Staff fixes 2026-09-09
COV-09,Cross-expansion,"Campsites: create, rename, order and save groups",Located,Payload review,Missing,Pending,HG-QA-009,REQ-02,Inspect existing frames before asking staff to recapture,Packet inventory: 321 requests / 74 sources
COV-10,Cross-expansion,"Trading Post: purchase, refund, freeze and rotation",Partial,Payload review,Partial,Pending,HG-QA-010,REQ-03,Qualify seven existing purchases; capture missing actions,Packet inventory: 7 purchases / 2 sources
COV-11,Legion,Introductory Vault map 1494: spawn difficulty,Located,Qualified legacy DB,Fixed,Pending,HG-QA-015,,Retest difficulty 12; Mardum and dungeon map 1493 are separate,Legion dump + 69587 MapDifficulty + SQL 108
COV-12,Cross-expansion,Native Mythic+: full run and key/reward lifecycle,Partial,Current contract gaps,Partial,Pending,,REQ-04,Review current start/reset/deaths/affixes/finish/key/reward variants,NEXT_SNIFFS_69587 item 1
COV-13,Cross-expansion,"Timewalking: scaling, event access and rewards",Partial,Current contract gaps,Partial,Pending,,REQ-05,"Compare levels and stats before/during/after, plus event boundaries",NEXT_SNIFFS_69587 item 2
COV-14,Cross-expansion,Chromie: destination introduction and conditions,Partial,Missing conversations,Partial,Pending,,REQ-06,"Target missing conversations, both factions and eligibility variants",NEXT_SNIFFS_69587 item 3
COV-15,Dragonflight,Quest 64864: all objectives and companion state,Partial,Objective gaps,Partial,Pending,,REQ-07,Recover full sequence; objective 421736 is TALKTO,NEXT_SNIFFS_69587 item 4
COV-16,Cross-expansion,Quarantined gossip: exact missing text parents,Partial,Missing references,Quarantined,Pending,,REQ-08,Use exact unresolved IDs; require actual text responses,NEXT_SNIFFS_69587 item 5
COV-17,Cross-expansion,ReShape: non-zero geometry variants,Partial,Unqualified semantics,Unresolved,Pending,,REQ-09,Observed 1324 zero tails do not qualify geometry,NEXT_SNIFFS_69587 item 6
COV-18,Cross-expansion,RatedPvPInfo and scheduled world state variants,Partial,Unqualified semantics,Unresolved,Pending,,REQ-10,Correlate observable rating/calendar state with full packet sequence,NEXT_SNIFFS_69587 item 6
COV-19,Custom systems,Infinite Mythic / Prestige rebirth rule,Not applicable,Legacy rules recovered,Disabled,Pending,,,Owner policy for max level 90; retail sniff cannot define custom rule,NEXT_SNIFFS_69587 custom systems
